Comments,Target
['Anyone want food I got  i have more but Im to asleep '],0
['At home Donald had fucked his daughter what type of society in America'],1
['Truly disturbing things about this video '],1
['1  Trump is implying that he fucks his daughter'],1
['2  His daughter seems to think its funny'],0
['3  The audience thinks its funny'],0
['Further proof that the real president of the United States is Satan'],1
['Wha the hell is wrong with that man'],1
['Even in Appalachia they say that aint right'],0
['Omg that is gross '],1
['I dont see why this is so horrible to people Like with Trump its all about the brand Ivanka is well known for being hot and hes promoted that brand as well as his brand as being for and about beautiful people  Is it a little cringe Yeah but I dont see something nefarious going on I think this is just a distraction'],1
['Hes a beast  It annoys me how he gets away with it'],1
['Bill Clinton was condemned for a blowjob done in private Trump literarily comes out and says it fuck out of here'],1
['Yeah the party of faith and family values I hope Jesus slaps all you Bible flippers For your damn hypocrisy evil intent and disinformation campaign'],1
['How hot she is What the'],1
['Trump is a SKUNT HOLE'],1
['Biden and Trump are both creeps'],1
['Biden is children sniffer'],1
['Bro someone just called your fuck8ng daughter a piece of ass and your like totally fine with it'],1
['Im starting to think that he has never been that kinda person He recently has just says those not thinking about it sometimes a dad is joking with his daughter i want to give him the benifit of the doubt'],1
['this is just too disgusting for words  just major ickkkk'],1
['Trumps fav song Sweet Home Alabama If you get the joke congratulations '],0
['The fuuuuu'],1
['Obviously TRUMP in into incest Hes so nasty and disgusting'],1
['uhh what the fuck'],1
['Yikes'],1
['Trump 2020'],0
['May be they are moving to alabama guys just chill'],0
['Trumps trumpcard is bad trump'],1
['Father has no respect for her He cant seem to keep his hands off her and making cringe worthy comments on her'],1
['That is some sick and disgusting stuff I feel sorry that she has to put up with her fathers public awkward sexual comments'],1
['The president of the United States that when he says about his daughter hes f nasty'],1
['Hes so disgusting'],1
['Lmao I bet trump supporters are like it was taken out of context or its propaganda by the media'],0
['Im 100 sure  incest is just a routine at Trumps house '],1
['Most of freemasons do it as a mind control technic '],1
['I would put a restraining order if my dad ever said shit like that to me'],1
['Good job America for electing this freak as president '],1
['2020 fuck trump '],1
['He crushes on his daughter'],1
['I love how howard stern calls his daughter a piece of ass and people bash trump  lol with the truth right in front of you nut jobs you refuse to acknowledge the real issue because youre all part of it'],1
['she so smart and talented  if she wasnt my daughter id date her'],0
['CNN HE SAID HE WANTS TO BUTTFUCK HIS DAUGHTER'],1
['complete bs Trump 2020 folks cheers'],1
['Yeah while Trump sextualized his daughter Joe Biden touched and sniffed a bunch of 6 yearold girls in front of cameras'],1
['Ugh god so gross'],1
['Man i hope you fuckheads get shut down'],1
['You guys dont really think they you know at night '],0
['In a country where gay is normal and there are 66 genders I would assume that sex with in family is normal as well  Why people seem so outraged'],1
['Its normal to call your daughter beautiful but who in the fuck brings up sex'],1
['WeLl hEs nOt thE beSt wiTh WoRdS'],0
['i never heard him say the words they said lol'],0
['Trump is the devil in disguise'],1
['Thats all the liberals got same old shit so stupid  WHO CARES'],1
['this aint news'],0
['Hes complimenting on how beautiful she is'],0
['Im pretty sure when he said sex he was talking bout gender'],0
['This is so creepy it isnt even funny its downright bone chilling How the hell can you even say something like that about your own goddamn daughter your own flesh and blood '],1
['YOU LOOK LIKE MY DAUGTHERyes its true'],0
['So weird Donald Ew You clearly have diarrhea at the mouth Think before you speak man come on And seriously Howard Stern I cant even believe youd ask questions like that Maybe it was to make Trump look bad because you know hed fail at how to answer those questions'],1
['The sad thing is Biden might be Even Worse'],1
['Its called the lesser of two evils As disturbing as some of Trumps comments may be its what he actually DOES as a president that counts Hes not a Republican nor a Democrat nor a politician hes a successful business man He actually DOES the things he promises in his campaign Corrupt politicians who speak based on the direction of the wind cant claim that '],1
['We will never have a good person as a president So we have to make sure theyre at LEAST sincere Biden is a downright pawn for an incredibly corrupt political scheme The Democrats and even many Republicans have been pulling all stops to keep Trump from being reelected Why Its simple hes not one of them'],1
['Chester trump the molester'],1
['This is stupid  Please stop this  Hes a dad and thats all'],1
['She gives me the vibe of being flattered by his comments maybe in a weird way shes sick in the head as well'],1
['Hes a sicko and shes delusional'],1
['Its sad that we have awesome smart and great people in America that should be our politics and our president yet we come up with this'],0
['Sicko Pedophile Bastard'],1
['I mean its cringe and weird but its not letting your cities burn down whilst letting criminals go and siding with riotsterrorist also doesnt snip little girls so I know whod i vote for'],1
['126 Hes such a perv and you can see the discomfort in his daughters face this is disgusting '],1
['A LOT Of fathers joke around with their daughters like that Grow up people he was clearly joking for TV Notice how she even was shocked and laughed at one of the jokes You guys are such idiotic babies'],1
['USA is corrupted'],1
['Trump daughter defends him yeah no shit hes her father'],1
['NO ONE 2020'],0
['A piece of ass she is He is right She looks very enjoyable I wouldnt be surprised to hear that they have sex Since incest is quite common in that community'],1
['She is gorgeous i happen to think my children are also beautiful trump 2020  At least he isnt groping  kids like Biden on national TV   oops was this true or false Lol'],1
['Making Incest Great Again'],1
['Such a pervert pig sex is tunberable'],1
['This is called loving family humour you have to tell me you realize this'],0
['Woman said she had sex with Donald at age 13'],1
['Only because of him'],0
['Trump 2020 I hate CNN'],1
['How did America elect him'],0
['Please trump family should keep showing support from dr daiana awell I am supper happy I appreciate this act I might do the injection I hope my ass doesnt go up'],0
['He didnt say sex as in he wanted to have sex with her'],0
['Trump says his own daughter is hot so do my friends dads'],1
['DAM Pervert Should Be Listed on Sexual Notification List Nationwide'],1
['Your a fucking sick sick man Trump '],1
['stupid cunts'],1
['shut the fuck up fake news TRUMP 2020'],1
['Lol these comments  CNN fake news  this video should be reported'],0
['Im a trump supporter I guess but wtf'],1
['Disgusting'],1
['Wow'],0
['I wish this were the worst thing about him'],1
['better check inankas room for hidden camera we got a mega pervert over here'],1
['thought a pedophile is the worst here we have the trump and ive got a big gut feeling they did it'],1
['Are any of the Washington DC hotels andor restaurants preparingready to serve Fried Ass of Donboy  If they are count me in  Ill probably need a chain saw to cut into it and the DC Fire Department on standby to put out the resulting fire'],0
['Hes got zero respect for women'],1
['WHAT THE ACTUAL FUCK IS THIS'],1
['It WaS tAKen OUt oF cOntExT'],0
['This doesnt make joe Biden look better'],0
['superbook'],0
['Yalls president '],0
['he just touched his daughters waist yall wtf yall support this misogynist and sexist man'],1
['You guys need to stop listening to the BS tone the commentator is pushing and listen to his own daughters words  He was JOKING AROUND  FFS'],0
['i support trump but yah this is kinda weird'],1
['He fuck his daughter  He loves to talk about  her shape'],1
['How does he say i was thinking of sex BROOOO THATS MESSED UPPthat is his DAUTGHERi think i spelled dautgher  wrong waNyWaYs UWUYA is messed up'],1
['May be he cant satisfy his wife'],1
['I love it how they say stop it youre so weird youre so ugh'],1
['Trump you such an sick man'],1
['I feel so gross this is why yall should have voted for Bernie hes what a real president'],1
['omg guys I was watching messyourself reacting like funny stuff but then danold trump was like if I was different than her then I would date her I was like omg and still im shocked how the man is like what kind of father is he '],0
['btw the vid in mess yourself is reacting to shocking moments caught on TV live'],0
['He is so creepy I feel bad for his daughter'],1
['You really believe CNN'],1
['okay ew'],1
['Oh come the fuck ON that shit is funny as hell  Ima keep it 000 and tell you what if Ivanka were MY daughter I would ACTIVELY be trying to bang the SHIT outta my own daughter  Not sorry Reeses bitch'],1
['This is what you report on when you cant fault actual policy with fact decade old statements because unfortunately thats how far back we have to go to find dirt Trying to make it seem like Trump wants to do is daughter is hardly a scandal at all there is just nothing in it Surely CNN has more relevant things to denounce about Trump like things that matter politically I fully agree with Elon Musk when he says what i find most surprising is that CNN still exists If you are consuming CNNs narrative then you are choosing to be brainwashed Same goes for those who follow fox news None of these networks contain independent objective reporting They should not be called news networks'],1
['CNNs desperate attempts to make something out of nothing to demonize the great man is very evident here  No wonder these Marxist dingbats are known as the Clown News Network'],1
['If you hate Trump you hate America'],0
['Democats are the biggest hypocrits Theyve legit said that this doesnt bother them but it does when its trump'],1
['Home sweet Alabamaaaa'],0
['Bullschit  cnn   spewing bullschit  i guess you idiots  dont understand sarcasm  my dad always  says  how pretty  i was'],1
['lol this nation is on the decline and done for this is the man that was chosen to lead this great nation under God this man whose ears and eye lids do not match his face has failed this nation with such poor leadership and chances are this will be the worse presidential election this nation will witness'],1
['WTF is wrong with this picture and what kind of man would talk about their daughter that way and he should be in jail not the FU king white house WTF is wrong with American people and when are we going to get some respect for living here because this man is wrong for this beautiful country and any other country in the world and he has to be stopped before its to late just because he has money doesnt make him great he has no compassion for others and hates anyone who is challenging his warped mind'],1
['This is disgusting'],1
['How the hell are people still supporting him'],1
['There is not enough ewww in the world for what I have just viewed I need blain breach I mean brain bleach  oh god its started already'],1
['No wonder Southerners voted for Trump'],0
['She means only some women'],0
['I dont think Ivanka is even attractive her mother was beautiful however he is a fcking parasite btw'],1
['its ok for him to say sex'],0
['he can relate that to ivankas mother thats how she was born right or yall gonna say he meants his daughter'],0
['he meant her mother looooll and thats why he said cant relate that to ivanka'],0
['Yet my father has the nerve to call himself a Trump supporter and want him as Prime Minister of our country '],0
['Trump gets a compliment about his daughter and apparently not saying that it was gross makes him an inbreeder lol'],0
['Fake news'],1
['Trump is saying what he has on his mind'],0
['This guy is a world leader'],0
['Im from India and this is the President of the Richest Country In The World'],0
['And people are saying Creepy Joe'],1
['Yeah we all know President Donald Jerkoff Chump took IVANKKKAs virginity and banged it out more time than her husband has  Probably still does what happens when her children ask Mommy why is Daddy our Grandpa too'],1
['Its sad and unbelievable how the Christians who support trump have LOWERED their MORALITY  some have even comparing him to Jesus  WOW  YALL need to READ the BIBLE again specially about HOW JESUS LIVED  This scumbag is SICK  Good luck getting into HEAVEN '],1
['Like her father Ivanka is a fraud Her designs are all ripped off from real designers She is also completely clueless about politics and geography She is a waste of molecules'],1
['If Donald was my father I would have packed my bags and slapped him into next week'],1
['Shes a piece of ayuss'],1
['When youre fine with your leader groping his own daughters ass talking about her tits and body saying that they both have an interest in sex in common you really need to reevaluate your priorities because somethings broken'],1
['014 going in for quick puy grab'],1
['Ivanka has D A D D Y issues'],1
['I think that there is a sexual relationship going on between them sad but true '],1
['Wtf CREEP I want to puke This is disgusting Howard Stern is disgusting too What the fuck This is disgusting'],1
['My question is if these were comments were from a few years ago why werent they talked about more in the 2016 election'],0
['Total respect Grab them by the p o that is very respectful'],1
['Creepy trump'],1
['trump supporters after watching this yeah trump 2020'],0
['Did u know Donald trump raped 25 woman also   Is very sexist toward woman'],1
['What is this shit its clearly obvious that hes an old man 75 years old hes not a teenager to do something like this'],1
['Hes a pig'],1
['I actually really like and respect Ivanka I love her clothing line shes a well respected businesswoman she has always displayed so much respect to neighboring cultures and opposing political views I would vote for Ivanka if she ever ran for president It makes me so disgusted to hear her father talk about her like this Just plain disgusting'],0
['I believe that they have a sexual relationship Hollyweird gets eyes wide shut down'],1
['This very evil satanic behavior is very common among the elite and it is mandatory and expected'],1
['Research has educated me to this conclusion '],0
['Dont believe me Watch KUWTK and notice the family Dynamics Father and son mother and daughter sister and sister sister and brother are in sexual relationship with each other'],1
['It is interesting how people still watch and support CNN even though they quite literally defended the riots going that went on'],0
['Pathetic'],1
['There is a HUGE difference between being proud of your daughter and thinking she is beautiful and what Trump says about Ivanka  Seriously What The FK'],0
['One day there will be a red dot on the pedophile map over tRump tower'],1
['Please vote fr this guy i cant wait the end of the world i want to go to Valhalla'],0
['He dont talk about Tiffany that way'],1
['Cant believe people support this Orange Mother Fucker HELL NO'],1
['Dude probably  jerks off to the sex scene in Old Boy'],1
['Due to ivankas responses to this Im pretty sure they fucked already'],1
['I believed it until I saw CNN at the bottom'],0
['Yea right he wants to bang her he gross the way he talk about her'],1
['This gives me a boner in afternoon'],1
['If I werent married and you know her father'],0
['Republicans on LGBTQ Ewwwww Thats Satanic'],1
['Republicans on hot sex between father and daughter Meh Happens pretty much all the time round these parts'],1
['He wants to hit'],1
['Put its ok for the left to approve pedophilia'],1
['Thats gross trump is gross aaaaa'],1
['Can Christians please STOP defending Donal Trump This is NOT Christlike behavior at all This man has no dignity or respect for women and his comments about his own daughter are repugnant Yuk This is morally reprehensible and his followers keep giving him a pass Stop it Call this what it is'],1
['At least Trump is keeping it in the family Biden is groping girls all over the place'],1
['Ew FUCK TRUMP FUCK TRUMP FUCK TRUMP FUCK TRUMP FUCK TRUMP FUCK TRUMP FUCK TRUMP FUCK TRUMP FUCK TRUMP FUCK TRUMP FUCK TRUMP FUCK TRUMP FUCK TRUMP FUCK TRUMP FUCK TRUMP FUCK TRUMP FUCK TRUMP FUCK TRUMP FUCK TRUMP FUCK TRUMP FUCK TRUMP FUCK TRUMP'],1
['Why arent presidents vetted All the staff and everyone else in the White House has to be vetted To prove their fitness to be there'],0
['John Oliver sent me here'],0
['Creepy incest jokes are funny  if youre a God fearing church going Republikkkan '],1
['Who knows how many time did Donald trump raped his daughter'],1
['What a disgusting human being'],1
['This is just just gross the fact that people actually voted for this man '],1
['Fuck TRUMPETA HE CAN KISS MY ASS'],1
['Hey Im a 30 year something man and I can say confidently that I have a couple very hot female cousins that if were not related they are attractively dateable in my book  I wouldnt think too much about it because Im not messed up and dont believe in incest but hell when you recognize beauty for a second Id say yes we would look like a cute couple and then move on  Thats just the way the mind works  Frankly I feel that Trump is just a proud father as I am a proud cousin to two beautiful women on either side of my family who I could relate to as sisters because I am an only child and glad we have a very positive and healthy family bond  Opening up a can of worms as long as Trump never acts on or obsesses over the idea I wouldnt take issue with his proudness that he raised such a beautiful woman  Of course Ive read suggestions that Mary L Trump already drove that wedge in her How my family raised the most dangerous man book that he actually banged his daughter  Oy vey'],1
['Lol only a piece of shit Leftist would take this seriously'],1
['Whaaat the fuuuuuck'],1
['Trump supporters its taken out of contextthats what they always say when Trump says idiotic things'],1
['I dont blame him'],0
['Such a pervert'],1
['From where we are in Africa  America is that strange place where Men get married to men and women get married to women And where people with obviously compromised intellimgence  can become billionaires and still go on to be president'],0
['Republican or dumbocrat aside hes pretty gross Haha like you cant even defend his actions here'],1
['Jesus F Christ'],0
['Disgusting'],1
['incest'],1
['I wonder how much yall get paid to say most fake shit in 2020'],1
['Trump 2020 yerrr'],0
['All of this is ancient news '],0
['Thx pop'],0
['And yall still say trump 2020 Yikes'],0
['Something seriously wrong inside that head'],0
['I bet MRD had sleep with Ivanka'],0
['A PIECE OF ASS what a great Im proud our president is MRTrump'],1
['I did not have sexual relations with that woman'],1
['ivanka lost her virginity to his dad Yes or no'],1
['This is freaking crazy first time seeing this Wow This guy is what Americans voted to be president of the United States  Joffrey from Game of Thrones would have made a much better president'],1
['idc lol im still marrying his son '],0
['Hes a pedophile'],1
['Trump supporters His words were taken out of context'],0
['people dont realize that these are jokes he has a dark humor watch his shows and skits like shit its obvious he has even said that those are jokes on the same show like shit hes made Alabama jokes before you guys just think everything he says is fact he is proud of his daughter and if you realize a lot of dads make sex jokes like how thin skin can you be shit'],1
['Its crazy how easily sheep are manipulated into thinking anything just by the way you cut and edit videos I could make you think your mom is a giraffe if I wanted to'],0
['Hes just proud of her and has a funny way of showing it God bless his heart we all have a little bit of disability in us and its okay now lets see how we all evolve from this '],0
['Trump and Stern are disgusting'],1
['Conservative Christians Accept Trumps Incest Fantasy   Its Biblical  Michael Stone'],1
['This guy look like can become a president'],0
['What abt creepy joe sniffing kids Cover that cnn'],1
['Sweet home Alabama'],0
['He never said hed have sex with his daughter Still had cringy comments  No different than Biden kissing little girls Psychologists say kids always know a predator'],1
['What a weirdo He aint my president'],1
['How about CNN covers the many videos of Joe Biden sniffing girls hair Or him making out with his granddaughter or his sister'],1
['This is what we call an absolute GOAT'],1
['His a sick fuck'],1
['Sick MFkr'],1
['If anybody commented to my husband about our daughters being a hot piece of ass theyd get fuckin hit'],1
['If I talked about my daughter like that Id be a registered sex offender'],1
['white people yo I wouldnt let ANY one talk about my little girl'],0
['Hes proud of his daughters beauty Idiots'],0
['Hes attracted to his daughter Ivanka'],0
['Hell I am too Shes fricken HOT'],1
['Aye people finally know abt this'],0
['Nasty'],1
['True father or even decent human beings would not have the word sex cross their mind when they are talking about their own children'],1
['Hes such a perv'],1
['Who cares Rome style comedy '],0
['Imagine having a father saying I would marry ivanka or have sex if she werent my daughter what a dad and PRESIDENT'],0
['I wonder if she was molested by her father  Seems possible by the way he speaks of her'],1
['Trump 2020'],0
['President Donald Trumps lawyers are urging a judge to halt a lawsuit from a woman seeking Trumps DNA to help prove her claim that he raped her in the 1990s'],1
['trump supports will be like i fuck my daughter too u know'],1
['the president of the United States ladies and gentlemen'],0
['but ohh yeahh you never hear trumptards calling trump creepy now huh'],1
['what the bad captions'],0
['girafee'],0
['Ivanka is so hot'],1
['i like americans but how did this reality star become a president like where i from we view trump as a joke lol'],0
['Sweet Home Alabama'],0
['Dafaq'],1
['Epstein fucked ivankaIm so very sure'],1
['Voluptuous Thats not exactly a common term used when referring to your daughter'],1
['Lol Oh CNN when will you return to hell  The world is ready for truth not slanderous crybabies keep protecting the criminals'],1
['Lannisters haayyys'],0
['Good job trump Not only do you disgust people you have also taught your daughter that shes nothing more than a piece of ass '],1
['Believe me it sounded like it raised More than DONALD TRUMPS EYEBROWS something about 4 feet lower than his orange face'],0
['And people say hes a good president'],0
['He loves himself more then anything so its natural for him to love the closest woman to himself Ivanka Hes probably hit that Tiffany will never count to him'],0
['Its insane what rich white old men are able to get away with in America'],0
['I fuck her n I know trump would too'],1
['when ever you feel super stupid just come to this comment section and watch the people who support trump trust me you will feel much better'],0
['He said Is it wrong to be more sexually attracted to your own daughter than your wife to New York post when Ivanka was 13 years old'],1
['Disgusting'],1
['6'],1
['Wtf'],1
['And people still ask me why I dont like trump  Seriously '],1
['Trump supporters watching this video '],0
['And she aint all that Shes a Nazi Barbie'],0
['Donald Trump masturbates over his daughter vanka FOR SURE'],1
['I cant see any Christian or any other person of  non faith find this guy jokes about his daughter We all know hed like to bang herever since she was 1314 years old Sick Bastard'],1
['He makes me sick yall really want a man this disgusting as a president  Women for trump its like saying you support rapist '],1
['Thats our president people Wow what happened'],0
['Pause and look at 134  Let that sink inthe whole photo From what lookslike a shimmy dance move from Ivanka to the man on their left STARING at the scene like WTF to Donalds crotch is that his underwear showing We can see its not an undershirt'],1
['That explains winning Alabama in the election     '],0
['Dont hate me i know its 9999 not true but I just want to make people laugh'],0
['Trump has a very high level IQ and yall missed the pun he meant SEX as in the difference of the sexes man and women he was being sarcastic which meant the opposite of IN COMMON notice how the clip was cut after that what does he say after that'],1
['What Trump talks about her daughter as sex object'],1
['Honestly I think that this says a lot about his psycology and value systems Trump sees womens beauty and attractiveness as their highest possible achievement and thats why he says these things and thinks that hes paying his daughter a compliment'],0
['Donald trump is a paedo Sick father He glorifies paedophiles Like Harvey Weinstein '],1
['Lock the bastard up'],1
['The Arabs respect the Russians and the Russians do not respect their policy To some extent their policy is clear As for the Americans they think that the Arabs are ignorant but 80 of the Arabs know very well that America plays a pernicious role in the Middle East with its support for terrorist groups in order for Islam to appear in a bad form and after it was proven to the world that who came from the president America has a dirty and dirty man like Trump leading the world to death'],1
['Sick man'],1
['This is sooooo cringeworthy'],1
['And yall still want him as our president'],0
['CNN is disgusting'],1
['Incest speculation aside a man calls your daughter a piece of ass and your response is YEAHHH I KNOW RIGHT '],1
['Did yall catch how he touches her hips as she approached the stage to greet the audience Oh boy oh boy '],1
['Lets just pray for that family '],0
['if my dad ever talked about me like that id go get emancipated'],0
['Ive never rolled my eyes harder then when they said trumps daughter was a feminist  I would be disgusted if my father talked about me like this Absolutely vile '],1
['Ewwww nasty hes nasty'],1
['This just shows what a sick person has been chosen by us as the most powerful person in the world He is so regressive he doesnt even belong in the Victorian Era'],1
['Yikes'],1
['Omg he is sick  my father said something like that and I kicked him out'],1
['Thank God he is not my president'],0
['Creepiest thing ever got a shiver down my spine'],1
['How do I show this to my Parents without showing it to them'],0
['The weirdest part about it is he saw her as a baby and like growing up now if it was through marriage or something it would be more tolerable But wow thats terrible'],0
['I mean like shes attractive but what the fuck thats your daughter'],1
['Lol and all them trump supporters be acting like saying joe loves his sister is bad'],0
['HAHA LOOK AT ALL THE TRUMP SUPPORTERS DEFENDING HIM'],0
['Also no I dont support Biden Trump and Biden are both bad options'],0
['Would it surprise anyone here that he really fucked his daughter'],1
['Eww'],1
['This is really disturbing and disgusting'],1
['Congratualtions AmeriKKKa you elected a pervert'],1
['Ivanka should author a tell all book I bet that there is a lot of unsettling perversions in his relationship with his very own daughter What a sicko'],1
['This is what yall wanted  as a president '],0
['SWEET HOME ALABAMA'],0
['What a creep  I nearly threw up'],1
['Even Melania does not receive compliments like that Its weird'],0
['it is absolutely REPULSIVE that trump let ANYONE call his daughter a piece of ass that is DISGUSTING'],1
['The facts the his answer was SEX is DISGUSTING'],1
['The fuck'],1
['Yuck ugh gross wtf'],1
['All the trump supporters are Karens '],0
['Wow Trump is such a great Man He is a Genius an Angel and a great Father Hes the best Her daughter must be so proud of him She really is a lucky Lady having an amazing smart Father like Trump God bless them both God bless Trump and God bless The United States of America'],0
['Fuck you CNN'],1
['Sweet home Alabama'],0
['Glad to be not born in the Untied States or living there'],1
['Yep thats my idiot president '],1
['I thought Trump is gay'],1
['WTF'],1
['Hes so disgusting  he would say those things to womens and to his daughter Respectfulstop protecting trump Every woman hate him '],1
['Pedophile you know he is'],1
['Its quite ridiculous how hard the media is trying to convince Trumps daughter that her father is sexist I mean does that even matter Trump is the president nobody should care about his family'],1
['Ya know CNN is being serious when they use the term cringe worthy'],1
['How are supporters actually DEFENDING these statement that came out of his damn mouth like seriously do you want a man that sexualize his own daughter to lead your country'],0
['Not to mention not only his daughter but disrespect women and people inferior to him in general'],0
['I guess this was the BEST choice to all of you rather than Hillary but next timejust have actual good people to run'],0
['Pause'],0
['Trump Sexually using his daughter and verbally showing sexual attraction hes given us white people a bad name'],1
['Those of you who voted for him Defend this please We will all wait'],0
['Fake news'],0
['127 its 2020 and now everyone is talking about how trump is a pedophile'],1
['Id hate my dad if he let some guy talk about my ass and call me voluptuous'],1
['That is fkn nasty He is one sick fck If my dad said stuff like that about me I would disown him That is so disturbing '],1
['Strange when you mention a  menu on this thread and a few ex presidents names it gets removed'],0
['I see all the Obama  Clinton  bots working overtime here  what was her name again   ah yes Monica '],0
['He says more things like sex hot piece of ass and Id date her than comments like I love her or Im proud of her Somethings very wrong here'],1
['If my father allowed someone to call me a piece of ass in front of him we would have no relationship Thats so fucking disgusting'],1
['No'],0
['My father never tell me that But Donald trump is a disgusting person and a disgusting father'],1
['Who let him be president the rats in the sewer'],1
['But oh Joe Biden he says'],0
['Its a complement stop being wimps'],0
['disgusting '],1
['They dont seem to have father daughter relationshiptrump is way too touchy feely with her'],0
['Whats up with Howie Stern talking to her like that'],0
['WHAT IS THIS hows he not in prison wtf this creep is president what am I watching'],1
['Eww I just realized not only is Trump a father he is a grandfather Those poor kids'],0
['014 watch your hands buddy'],0
['Howard stern is a pompous self absorbed dick'],1
['this is your president wow'],0
['Hes so disgusting'],1
['And yet this is the man conservative Christians raise up on a pedestal'],0
['Feminazis didnt like it  Feminazis dont wanna equal rights wanna privileges'],0
['I wont be surprised if he sexually assaulted her'],1
['There was a time I looked up to America'],0
['Haw did yalls make this cheeto ur president'],0
['The way he talks about his daughter is just sick'],0
['Now if he could say that about his daughter what more around strangers'],0
['clip through 125  135 nasty'],0
['I mean ive always said Ivanka had a rockin body but then again im not her biological father'],1
['Its cause shes insanely hot and should do hardcore porn'],1
['Trumps def sexually abused his daughter I wouldnt be surprised if he even raped her'],1
['I say this because I had a friend w similar relationship w her dad Her dad creeped me out how hed talk n was w her daughter Exactly like trump she later told me he was nasty w her She finally moved to her moms thank God poor girl would defend her dad tho '],0
['Sweet home Alabama starts playing in the background'],0
['Im betting hes doing his daughter Everyone else is doing her'],0
['Oh Of course it is CNN'],0
['I hope its not what Im thinking '],0
['this is disgusting'],1
['They take his videos out of context and edit it to make him look bad that seems like one hell of a reach lol'],0
['disgusting'],1
['White fathers chile anyways'],0
['Disgusts me and pathetic'],1
['P i g'],1
['Hes fucking her Duh'],1
['Trump supporters We love trump because he says what he means  '],0
['Also trump supporters thats not what he meant'],0
['what the fuck'],1
['And still there are people supporting Trump '],0
['Trump is a mistake to humanity'],0
['This is our president folks'],0
['Hes being honest Go to church kidos'],0
['A sick sick man as the president what the hell did people think about when voting for him'],1
['This is disgusting'],1
['Has Joe Biden had any creepy moments we should know about'],0
['Poor America lmao'],0
['Honestly someone send her to therapy cos this aint ok'],0
['Reiting dont have Trump  httpswwwyoutubecomwatchv1t9Yo5JaVQQ'],0
['well at least Ivanka isnt much of a dumass like  her dad'],0
['DISGUSTING'],1
['And Americans keep voting this asshole'],1
['What kind of Alabama daddy daughter dating is this'],0
['Bro we need to save her'],1
['Trump is in need to f therapy emotionally mentally and spiritually Having hidden incestual thoughts about ones own flesh and blood is a BIG NO NO  I wouldnt put it passed him if he tried touching her when she was a little girl trump is mentally ill pervert Gross pig fucker'],1
['Trump is a sick piece of shit'],0
['When Trump said he had sex in common with his daughter on Wendy Williams show wouldnt it have been perfect  truthful had she shot back You wish'],0
['Id just want to delete myself from that familys entire existence'],0
['Its fine to say your daughter is beautiful but when you say you would date her and have sex with herthats absolutely disgusting and revolting What a sick asshat'],0
['Trump supporters be like yOu toOk ItOuT oF cOntExt'],0
['150 wtf you looking at trump'],1
['The correct way to respond is shown by the ladies of The View'],0
['Shed catch wood tbf'],0
['They have sex with each other Creepy AF '],0
['Daddys girl confirmed'],0
['I like that Stern was like fishing for his reaction about his daughter '],0
['httpsyoutubeHMHpib5ZNCc'],0
['We need another President like this guy'],0
['TRUMP SUPPORTERS are called cousin fkers for a reason'],1
['Its raining'],0
['Any human being gives his daughter an umbrella'],0
['Trump ur soooo sexy i totally wanna have sex with u'],1
['Ok but can we talk about how weird Howard Stern is too Like why would you call someones daughter sexy to their face'],0
['Sex also means gender'],0
['He just put his foot in his mouth Whats new'],0
['If only the Media had been this inquisitive when Bill Clinton was groping every woman he ran into '],1
['That Trump family is the weirdest'],1
['Yeah I dont think shes that great Beautiful is not the word to describe Ivanka cause shes not that beautiful Cute maybe but not beautiful and I would give her a 6 out of 10 which still isnt all bad but so many more beautiful women in this world'],0
['I didnt know Trump was from Alabama'],0
['118 wow this is our president yall unbelievable'],0
['It just goes to show what a real pervert he is and i believe these women who have claimed hes sexualy harrast them are all telling the truth'],0
['All fake ass controlled televised shit '],1
['How could he let someone call his daughter a piece of ass What the fuck my dad would NOT let that fly'],0
['Ew did you guys see the way he touched her hips at the beginning'],0
['USandA is the stupidest country in the world to choose trump as a president'],1
['Ew'],1
['Funny how you dont talk about Biden saying his sister is the love of his life Or that he likes little kids rubbing his legs in the pool You stupid CNN always trying to get trump You guys are a bunch of idiots Go shut down your tv show You guys sound like a bunch of idiots'],1
['Jazz music stops'],0
['Banjo music starts'],0
['Home Sweet Alabama intensifies'],0
['its funny how he hates mexicans so much but literally named his daughter Ivanka '],0
['Guys Biden is weird around kids maybe we can focus more on that'],0
['Here it really becomes obvious what kind of a person he is'],0
['so proud im not american'],0
['People cant keep defending him by saying his words get taken out of context Is a man saying he wants to have sex with his daughter a joke to you Im not laughing'],0
['Outspoken so called PresidentPedophile'],1
['HAPPY FATHERS DAY 2020 PLEASE GET THIS MAN OUT OF OFFICE'],0
['Thats messed up'],0
['Respect for women my ass'],1
['His a fuvhjsing gahhhhhhhhhh'],1
['Seriously how is he the president'],0
['Way to get the Alabama Votes'],0
['Way to get the Alabama Votes'],0
['Way to get the Alabama Votes'],0
['Way to get the Alabama Votes'],0
['Way to get the Alabama Votes'],0
['Way to get the Alabama Votes'],0
['God damnit yall made him our president'],0
['I dont care what anybody says as a woman I KNOW Ivanka has felt uncomfortable and eerie many times all women are equipped with a gutwrenching intuition that cant be dismissed no matter how hard you try'],0
['TFouuuuh on his face '],0
['Disgusting'],1
['Orange head is so sick '],1
['more tapes will be forthcoming of donald spewing lewd comments about his daughter whom he finds sexy'],1
['I know hes not sexist hes a pedo'],1
['I agree its a bit weird but doesnt make him a bad president'],0
